"id"	"comic_id"	"latest_chapter_id"	"star"	"latest_chapter_name"	"hits"	"total_chapter"	"lastest_chapter_release_date"
"1"	"1"		"0"	""	"69000"	"0"	"1/1/1001 08:00:00"
"2"	"2"		"0"	""	"68000"	"0"	"1/1/1001 08:00:00"
"3"	"3"		"0"	""	"66000"	"0"	"1/1/1001 08:00:00"
"4"	"4"		"0"	""	"66000"	"0"	"1/1/1001 08:00:00"
"5"	"5"		"0"	""	"64000"	"0"	"1/1/1001 08:00:00"
"6"	"6"		"0"	""	"62000"	"0"	"1/1/1001 08:00:00"
"7"	"7"		"0"	""	"54000"	"0"	"1/1/1001 08:00:00"
"8"	"8"		"0"	""	"54000"	"0"	"1/1/1001 08:00:00"
"9"	"9"		"0"	""	"54000"	"0"	"1/1/1001 08:00:00"
"10"	"10"		"0"	""	"53000"	"0"	"1/1/1001 08:00:00"
"11"	"11"		"0"	""	"53000"	"0"	"1/1/1001 08:00:00"
"12"	"12"		"0"	""	"52000"	"0"	"1/1/1001 08:00:00"
"13"	"13"		"0"	""	"51000"	"0"	"1/1/1001 08:00:00"
"14"	"14"		"0"	""	"51000"	"0"	"1/1/1001 08:00:00"
"15"	"15"		"0"	""	"50000"	"0"	"1/1/1001 08:00:00"
"16"	"16"		"0"	""	"50000"	"0"	"1/1/1001 08:00:00"
"17"	"17"		"0"	""	"48000"	"0"	"1/1/1001 08:00:00"
"18"	"18"		"0"	""	"48000"	"0"	"1/1/1001 08:00:00"
"19"	"19"		"0"	""	"47000"	"0"	"1/1/1001 08:00:00"
"20"	"20"		"0"	""	"46000"	"0"	"1/1/1001 08:00:00"
"21"	"21"		"0"	""	"46000"	"0"	"1/1/1001 08:00:00"
"22"	"22"		"0"	""	"45000"	"0"	"1/1/1001 08:00:00"
"23"	"23"		"0"	""	"45000"	"0"	"1/1/1001 08:00:00"
"24"	"24"		"0"	""	"43000"	"0"	"1/1/1001 08:00:00"
"25"	"25"		"0"	""	"43000"	"0"	"1/1/1001 08:00:00"
"26"	"26"		"0"	""	"43000"	"0"	"1/1/1001 08:00:00"
"27"	"27"		"0"	""	"43000"	"0"	"1/1/1001 08:00:00"
"28"	"28"		"0"	""	"42000"	"0"	"1/1/1001 08:00:00"
"29"	"29"		"0"	""	"42000"	"0"	"1/1/1001 08:00:00"
"30"	"30"		"0"	""	"35000"	"0"	"1/1/1001 08:00:00"
"31"	"31"		"0"	""	"41000"	"0"	"1/1/1001 08:00:00"
"32"	"32"		"0"	""	"40000"	"0"	"1/1/1001 08:00:00"
"33"	"33"		"0"	""	"40000"	"0"	"1/1/1001 08:00:00"
"34"	"34"		"0"	""	"40000"	"0"	"1/1/1001 08:00:00"
"35"	"35"		"0"	""	"40000"	"0"	"1/1/1001 08:00:00"
"36"	"36"		"0"	""	"39000"	"0"	"1/1/1001 08:00:00"
"37"	"37"		"0"	""	"39000"	"0"	"1/1/1001 08:00:00"
"38"	"38"		"0"	""	"39000"	"0"	"1/1/1001 08:00:00"
"39"	"39"		"0"	""	"39000"	"0"	"1/1/1001 08:00:00"
"40"	"40"		"0"	""	"38000"	"0"	"1/1/1001 08:00:00"
"41"	"41"		"0"	""	"37000"	"0"	"1/1/1001 08:00:00"
"42"	"42"		"0"	""	"5396"	"0"	"1/1/1001 08:00:00"
"43"	"43"		"0"	""	"35000"	"0"	"1/1/1001 08:00:00"
"44"	"44"		"0"	""	"35000"	"0"	"1/1/1001 08:00:00"
"45"	"45"		"0"	""	"34000"	"0"	"1/1/1001 08:00:00"
"46"	"46"		"0"	""	"34000"	"0"	"1/1/1001 08:00:00"
"47"	"47"		"0"	""	"33000"	"0"	"1/1/1001 08:00:00"
"49"	"49"		"0"	""	"563000"	"0"	"1/1/1001 08:00:00"
"50"	"50"		"0"	""	"328000"	"0"	"1/1/1001 08:00:00"
"51"	"51"		"0"	""	"248000"	"0"	"1/1/1001 08:00:00"
"52"	"52"		"0"	""	"174000"	"0"	"1/1/1001 08:00:00"
"53"	"53"		"0"	""	"166000"	"0"	"1/1/1001 08:00:00"
"54"	"54"		"0"	""	"164000"	"0"	"1/1/1001 08:00:00"
"55"	"55"		"0"	""	"153000"	"0"	"1/1/1001 08:00:00"
"56"	"56"		"0"	""	"132000"	"0"	"1/1/1001 08:00:00"
"57"	"57"		"0"	""	"122000"	"0"	"1/1/1001 08:00:00"
"58"	"58"		"0"	""	"114000"	"0"	"1/1/1001 08:00:00"
"59"	"59"		"0"	""	"105000"	"0"	"1/1/1001 08:00:00"
"60"	"60"		"0"	""	"90000"	"0"	"1/1/1001 08:00:00"
"61"	"61"		"0"	""	"83000"	"0"	"1/1/1001 08:00:00"
"62"	"62"		"0"	""	"81000"	"0"	"1/1/1001 08:00:00"
"63"	"63"		"0"	""	"80000"	"0"	"1/1/1001 08:00:00"
"64"	"64"		"0"	""	"77000"	"0"	"1/1/1001 08:00:00"
"65"	"65"		"0"	""	"77000"	"0"	"1/1/1001 08:00:00"
"66"	"66"		"0"	""	"76000"	"0"	"1/1/1001 08:00:00"
"67"	"67"		"0"	""	"76000"	"0"	"1/1/1001 08:00:00"
"68"	"68"		"0"	""	"75000"	"0"	"1/1/1001 08:00:00"
"69"	"69"		"0"	""	"75000"	"0"	"1/1/1001 08:00:00"
"70"	"70"		"0"	""	"75000"	"0"	"1/1/1001 08:00:00"
"71"	"71"		"0"	""	"74000"	"0"	"1/1/1001 08:00:00"
"72"	"72"		"0"	""	"74000"	"0"	"1/1/1001 08:00:00"
"73"	"73"		"0"	""	"33000"	"0"	"1/1/1001 08:00:00"
